"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5610785","GLI3 is processed to GLI3R by the proteasome","5/201","60/10654",0.00535940071620283,0.0347084998763612,0.02681939038434,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-8878171","Transcriptional regulation by RUNX1","11/201","239/10654",0.00562730624912884,0.0356281826124671,0.0275300327462175,"PSMC2/PSMA3/PSMF1/CDK7/ASH2L/PSMB2/CBX4/IL2/PRMT1/PSMB1/PRKCQ",11
"R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","6/201","86/10654",0.00563239651594149,0.0356281826124671,0.0275300327462175,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-453276","Regulation of mitotic cell cycle","6/201","86/10654",0.00563239651594149,0.0356281826124671,0.0275300327462175,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-390471","Association of TriC/CCT with target proteins during biosynthesis","4/201","39/10654",0.00603512581700132,0.0378820205128698,0.0292715818978445,"CCT8/CCT3/CCT4/CCT6A",4
"R-HSA-5619115","Disorders of transmembrane transporters","9/201","176/10654",0.0061279327034525,0.0381709395879178,0.0294948307703338,"PSMC2/NUP88/PSMA3/NUP155/PSMF1/VCP/PSMB2/SLC3A2/PSMB1",9
"R-HSA-3371556","Cellular response to heat stress","6/201","89/10654",0.00664656029271403,0.0410878272640503,0.0317487210154362,"BAG3/NUP88/NUP155/VCP/HSPA9/HSP90AB1",6
"R-HSA-4608870","Asymmetric localization of PCP proteins","5/201","64/10654",0.00704354937536219,0.0432145585736507,0.0333920544190103,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-212165","Epigenetic regulation of gene expression","8/201","149/10654",0.00721379751216849,0.0438257742223083,0.0338643430845752,"TDG/POLR1D/DDX21/EHMT2/CDK7/TTF1/SAP30BP/TAF1C",8
"R-HSA-69239","Synthesis of DNA","7/201","119/10654",0.00725058764707306,0.0438257742223083,0.0338643430845752,"PSMC2/ORC5/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",7
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","9/201","182/10654",0.00757988927963704,0.0454793356778223,0.0351420563351594,"NUP88/TDG/NFKB2/NUP155/DDX17/NFKBIA/CBX4/HNRNPC/NR1H2",9
"R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains","3/201","22/10654",0.00782093545224234,0.04614843956007,0.035659075459858,"HLA-DRA/PTPN22/CD4",3
"R-HSA-9609523","Insertion of tail-anchored proteins into the endoplasmic reticulum membrane","3/201","22/10654",0.00782093545224234,0.04614843956007,0.035659075459858,"HMOX1/VAPA/CAMLG",3
"R-HSA-6814122","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding","4/201","42/10654",0.00786106997408055,0.04614843956007,0.035659075459858,"CCT8/CCT3/CCT4/CCT6A",4
"R-HSA-376176","Signaling by ROBO receptors","10/201","218/10654",0.00833056165703159,0.048555273658127,0.0375188453576084,"PSMC2/PSMA3/RPS4Y1/PSMF1/PSMB2/RBM8A/RPS3/RPS27L/PSMB1/CXCR4",10
